simulation,match_id,team_a,team_b,ga,gb,outcome,winner,loser
2,15,Saudi Arabia,Uruguay,0,2,A,Uruguay,
2,16,Iran,New Zealand,2,2,D,,
2,17,Austria,Jordan,2,0,H,Austria,
2,18,France,Senegal,5,0,H,France,
2,19,Iraq,Norway,0,20,A,Norway,
2,20,Argentina,Algeria,0,0,D,,
2,21,Portugal,DR Congo,1,1,D,,
2,22,England,Croatia,1,8,A,Croatia,
2,23,Ghana,Panama,0,0,D,,
2,24,Uzbekistan,Colombia,0,5,A,Colombia,
2,25,Czech Republic,South Africa,0,0,D,,
2,26,Switzerland,Bosnia and Herzegovina,4,0,H,Switzerland,
2,27,Canada,Qatar,1,1,D,,
2,28,Mexico,South Korea,3,0,H,Mexico,
2,29,Turkey,Paraguay,3,0,H,Turkey,
2,30,USA,Australia,2,1,H,USA,
2,31,Scotland,Morocco,0,2,A,Morocco,
2,32,Brazil,Haiti,2,0,H,Brazil,
2,33,Tunisia,Japan,2,1,H,Tunisia,
2,34,Netherlands,Sweden,2,0,H,Netherlands,
2,35,Germany,Côte d'Ivoire,2,0,H,Germany,
2,36,Ecuador,Curaçao,1,0,H,Ecuador,
2,37,Spain,Saudi Arabia,2,1,H,Spain,
2,38,Belgium,Iran,0,4,A,Iran,
2,39,Uruguay,Cabo Verde,2,0,H,Uruguay,
2,40,New Zealand,Egypt,1,2,A,Egypt,
2,41,Argentina,Austria,0,0,D,,
2,42,France,Iraq,1,0,H,France,
2,43,Norway,Senegal,0,1,A,Senegal,
2,44,Jordan,Algeria,1,2,A,Algeria,
2,45,Portugal,Uzbekistan,1,0,H,Portugal,
2,46,England,Ghana,4,0,H,England,
2,47,Panama,Croatia,0,1,A,Croatia,
2,48,Colombia,DR Congo,2,1,H,Colombia,
2,49,Switzerland,Canada,1,2,A,Canada,
2,50,Bosnia and Herzegovina,Qatar,0,1,A,Qatar,
2,51,Scotland,Brazil,0,2,A,Brazil,
2,52,Morocco,Haiti,3,4,A,Haiti,
2,53,Czech Republic,Mexico,1,2,A,Mexico,
2,54,South Africa,South Korea,1,1,D,,
2,55,Curaçao,Côte d'Ivoire,5,0,H,Curaçao,
2,56,Ecuador,Germany,4,0,H,Ecuador,
2,57,Japan,Sweden,0,0,D,,
2,58,Tunisia,Netherlands,0,2,A,Netherlands,
2,59,USA,Turkey,1,1,D,,
2,60,Paraguay,Australia,1,0,H,Paraguay,
2,61,Norway,France,5,1,H,Norway,
2,62,Senegal,Iraq,1,1,D,,
2,63,Cabo Verde,Saudi Arabia,1,3,A,Saudi Arabia,
2,64,Uruguay,Spain,0,1,A,Spain,
2,65,Egypt,Iran,1,0,H,Egypt,
2,66,New Zealand,Belgium,0,6,A,Belgium,
2,67,Panama,England,0,6,A,England,
2,68,Croatia,Ghana,3,1,H,Croatia,
2,69,Colombia,Portugal,1,1,D,,
2,70,DR Congo,Uzbekistan,1,1,D,,
2,71,Algeria,Austria,0,6,A,Austria,
2,72,Jordan,Argentina,3,2,H,Jordan,
2,73,South Africa,Switzerland,0,5,A,Switzerland,South Africa
2,74,Brazil,Tunisia,1,0,H,Brazil,Tunisia
2,75,Ecuador,Haiti,0,0,D,Ecuador,Haiti
2,76,Netherlands,Morocco,0,0,D,Netherlands,Morocco
2,77,Germany,France,0,4,A,France,Germany
2,78,Norway,Belgium,2,3,A,Belgium,Norway
2,79,Mexico,Senegal,0,0,D,Senegal,Mexico
2,80,Croatia,Curaçao,1,0,H,Croatia,Curaçao
2,81,Egypt,Saudi Arabia,0,2,A,Saudi Arabia,Egypt
2,82,Turkey,Qatar,3,2,H,Turkey,Qatar
2,83,Portugal,England,2,1,H,Portugal,England
2,84,Spain,Algeria,0,1,A,Algeria,Spain
2,85,Canada,Jordan,0,0,D,Canada,Jordan
2,86,USA,Iran,2,0,H,USA,Iran
2,87,Austria,Uruguay,0,1,A,Uruguay,Austria
2,88,Colombia,Paraguay,1,1,D,Colombia,Paraguay
2,89,Switzerland,Ecuador,3,0,H,Switzerland,Ecuador
2,90,Brazil,France,3,0,H,Brazil,France
2,91,Netherlands,Belgium,2,0,H,Netherlands,Belgium
2,92,Senegal,Croatia,2,1,H,Senegal,Croatia
2,93,Portugal,Algeria,5,0,H,Portugal,Algeria
2,94,Saudi Arabia,Turkey,0,0,D,Turkey,Saudi Arabia
2,95,USA,Colombia,2,1,H,USA,Colombia
2,96,Canada,Uruguay,2,2,D,Uruguay,Canada
2,97,Switzerland,Brazil,0,1,A,Brazil,Switzerland
2,98,Portugal,Turkey,2,0,H,Portugal,Turkey
2,99,Netherlands,Senegal,0,1,A,Senegal,Netherlands
2,100,USA,Uruguay,1,1,D,Uruguay,USA
2,101,Brazil,Portugal,0,0,D,Portugal,Brazil
2,102,Senegal,Uruguay,0,2,A,Uruguay,Senegal
2,103,Brazil,Senegal,0,0,D,Brazil,Senegal
2,104,Portugal,Uruguay,0,1,A,Uruguay,Portugal
3,1,Mexico,South Africa,6,0,H,Mexico,
3,2,South Korea,Czech Republic,0,2,A,Czech Republic,
3,3,Canada,Bosnia and Herzegovina,2,0,H,Canada,
3,4,USA,Paraguay,1,1,D,,
