model,class,feature,importance,abs_importance
logistic_regression_exp_h2h,A,num__away_exp_points_per_match_prior_filled,0.23911713128996942,0.23911713128996942
logistic_regression_exp_h2h,D,cat__confederation_pair_AFC_vs_OFC,0.23786540530129388,0.23786540530129388
logistic_regression_exp_h2h,A,num__home_exp_points_per_match_prior_filled,-0.23645350246420394,0.23645350246420394
logistic_regression_exp_h2h,A,cat__confederation_pair_infrequent_sklearn,-0.23254855356935936,0.23254855356935936
logistic_regression_exp_h2h,A,cat__confederation_pair_AFC_vs_CONMEBOL,-0.2283950115895241,0.2283950115895241
logistic_regression_exp_h2h,A,cat__confederation_pair_AFC_vs_CONCACAF,-0.2264890483406167,0.2264890483406167
logistic_regression_exp_h2h,H,cat__host_confederation_NON_FIFA,-0.22414157940017687,0.22414157940017687
logistic_regression_exp_h2h,A,cat__away_confederation_UEFA,-0.22063736583529822,0.22063736583529822
logistic_regression_exp_h2h,H,num__home_exp_goal_diff_per_match_prior_filled,0.21858367238162987,0.21858367238162987
logistic_regression_exp_h2h,D,num__confed_goal_diff_per_match_diff_prior_filled,0.21846655177629723,0.21846655177629723
logistic_regression_exp_h2h,A,num__confed_inter_goal_diff_per_match_diff_prior_filled,-0.21725156108170696,0.21725156108170696
logistic_regression_exp_h2h,A,num__home_exp_avg_tournament_importance_prior_filled,-0.21566732660861834,0.21566732660861834
logistic_regression_exp_h2h,D,cat__confederation_pair_OFC_vs_OFC,0.21495182757893996,0.21495182757893996
logistic_regression_exp_h2h,A,num__fifa_rank_diff_filled,-0.21431915184475034,0.21431915184475034
logistic_regression_exp_h2h,A,cat__away_confederation_OFC,-0.21303003640932752,0.21303003640932752
logistic_regression_exp_h2h,D,num__avg_goal_diff_delta_last10,0.2109022511048558,0.2109022511048558
logistic_regression_exp_h2h,H,cat__confederation_pair_AFC_vs_CONCACAF,0.19926857705215906,0.19926857705215906
logistic_regression_exp_h2h,D,cat__confederation_pair_CONMEBOL_vs_UEFA,-0.19771263428205055,0.19771263428205055
logistic_regression_exp_h2h,H,num__exp_avg_tournament_importance_prior_diff_filled,-0.19541319769415838,0.19541319769415838
logistic_regression_exp_h2h,D,num__confed_inter_goal_diff_per_match_diff_prior_filled,-0.19527709976722915,0.19527709976722915
logistic_regression_exp_h2h,A,num__h2h_goal_diff_per_match_last5_filled,-0.1917067291506222,0.1917067291506222
logistic_regression_exp_h2h,D,cat__confederation_pair_CAF_vs_CAF,0.19102630130519135,0.19102630130519135
logistic_regression_exp_h2h,H,num__weighted_goal_diff_delta_last10,0.19002171326991596,0.19002171326991596
logistic_regression_exp_h2h,A,cat__confederation_pair_UEFA_vs_AFC,-0.1863721686826624,0.1863721686826624
logistic_regression_exp_h2h,A,cat__confederation_pair_CONMEBOL_vs_CONCACAF,0.18551934738969916,0.18551934738969916
logistic_regression_exp_h2h,H,cat__confederation_pair_UEFA_vs_CAF,-0.18530374713155143,0.18530374713155143
logistic_regression_exp_h2h,A,num__confed_points_per_match_diff_prior_filled,-0.185006529722443,0.185006529722443
logistic_regression_exp_h2h,H,cat__host_confederation_CAF,-0.18446264185149694,0.18446264185149694
logistic_regression_exp_h2h,A,cat__confederation_pair_OFC_vs_OFC,-0.1840813495597812,0.1840813495597812
logistic_regression_exp_h2h,A,cat__host_confederation_CONMEBOL,-0.18340804888459158,0.18340804888459158
logistic_regression_exp_h2h,A,cat__confederation_pair_CAF_vs_AFC,-0.18088297174625137,0.18088297174625137
logistic_regression_exp_h2h,D,cat__away_confederation_OFC,-0.17832544134160358,0.17832544134160358
logistic_regression_exp_h2h,A,cat__home_confederation_OFC,0.17764515302960296,0.17764515302960296
logistic_regression_exp_h2h,A,num__exp_years_since_first_match_diff_filled,-0.1774767770510426,0.1774767770510426
logistic_regression_exp_h2h,H,cat__confederation_pair_CONCACAF_vs_CONMEBOL,-0.17678783151095717,0.17678783151095717
logistic_regression_exp_h2h,H,cat__confederation_pair_CONMEBOL_vs_CONMEBOL,0.1762449496058212,0.1762449496058212
logistic_regression_exp_h2h,H,num__away_exp_goal_diff_per_match_prior_filled,-0.17565364272321737,0.17565364272321737
logistic_regression_exp_h2h,H,cat__confederation_pair_NON_FIFA_vs_NON_FIFA,-0.1747897632070426,0.1747897632070426
logistic_regression_exp_h2h,D,cat__away_confederation_CONCACAF,-0.16780267072698798,0.16780267072698798
logistic_regression_exp_h2h,H,cat__home_confederation_CONCACAF,-0.1677960638106586,0.1677960638106586
logistic_regression_exp_h2h,A,num__neutral,0.16689681131382725,0.16689681131382725
logistic_regression_exp_h2h,H,cat__confederation_pair_UEFA_vs_CONMEBOL,-0.16653319953353518,0.16653319953353518
logistic_regression_exp_h2h,H,num__home_exp_avg_tournament_importance_prior_filled,0.16640627846004796,0.16640627846004796
logistic_regression_exp_h2h,H,num__fifa_rank_diff_filled,0.16594075408136122,0.16594075408136122
logistic_regression_exp_h2h,A,num__away_exp_years_since_first_match_filled,-0.16541970834843486,0.16541970834843486
logistic_regression_exp_h2h,D,num__h2h_home_team_points_per_match_prior_filled,0.16532409367568837,0.16532409367568837
logistic_regression_exp_h2h,D,cat__confederation_pair_UEFA_vs_CONCACAF,0.16515576398153586,0.16515576398153586
logistic_regression_exp_h2h,D,num__h2h_home_team_points_per_match_last5_filled,-0.16241720347156727,0.16241720347156727
logistic_regression_exp_h2h,H,num__confed_points_per_match_diff_prior_filled,0.1616746483669243,0.1616746483669243
logistic_regression_exp_h2h,D,cat__home_confederation_CONCACAF,0.1608052299350726,0.1608052299350726
logistic_regression_exp_h2h,H,cat__confederation_pair_CAF_vs_AFC,0.15786299466675663,0.15786299466675663
logistic_regression_exp_h2h,A,num__weighted_goal_diff_delta_last10,0.15698441778024153,0.15698441778024153
logistic_regression_exp_h2h,A,cat__host_confederation_UEFA,0.15684870848030513,0.15684870848030513
logistic_regression_exp_h2h,A,num__fifa_points_diff_filled,0.14521939964588615,0.14521939964588615
logistic_regression_exp_h2h,H,cat__confederation_pair_AFC_vs_CAF,-0.14521268349109812,0.14521268349109812
logistic_regression_exp_h2h,H,num__neutral,-0.1451351255990736,0.1451351255990736
