metric,first_baseline,model_v3,model_v4,v4_minus_baseline,v4_minus_v3,v4_improves_vs_baseline,v4_improves_vs_v3,lower_is_better
accuracy,0.5711830421082784,0.5766256087081065,0.5737610999713549,0.0025780578630765216,-0.002864508736751592,True,False,False
balanced_accuracy,0.5305434995010084,0.5356741620082491,0.5319750818276351,0.001431582326626657,-0.003699080180614045,True,False,False
macro_f1,0.5268770030540572,0.5341900093187495,0.5300722369300349,0.0031952338759777543,-0.00411777238871458,True,False,False
weighted_f1,0.5719523454041484,0.5792342653164992,0.5760808284066405,0.004128483002492134,-0.003153436909858698,True,False,False
log_loss,0.8844133689915499,0.8860181849074792,0.8818941298844113,-0.0025192391071385822,-0.004124055023067896,True,True,True
multiclass_brier,0.52129785167228,0.522917876224484,0.5203566944662361,-0.0009411572060439299,-0.0025611817582479324,True,True,True
ece_10_bin,0.05973640032640985,0.05349734959637058,0.06363837757748024,0.0039019772510703876,0.010141027981109663,False,False,True
