model,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,multiclass_brier,ece_10_bin
first_baseline_logistic,validation,0.5211558307533539,0.503136309714705,0.4960789046755624,0.533690908642587,0.9776246133013157,0.5787885083121042,0.03504542754221745
model_v3_calibrated_rf,validation,0.5211558307533539,0.49342614922595346,0.4917441150862388,0.5349683422437475,0.9595098653184714,0.5694363369831713,0.05616252316813059
model_v4_probability_ensemble,validation,0.5170278637770898,0.4901264733681163,0.48793501836461867,0.531306403313348,0.9586127603478194,0.5687640282895241,0.06215476065827047
first_baseline_logistic,test,0.5711830421082784,0.5305434995010084,0.5268770030540572,0.5719523454041484,0.8844133689915499,0.52129785167228,0.05973640032640985
model_v3_calibrated_rf,test,0.5766256087081065,0.5356741620082491,0.5341900093187495,0.5792342653164992,0.8860181849074792,0.522917876224484,0.05349734959637058
model_v4_probability_ensemble,test,0.5737610999713549,0.5319750818276351,0.5300722369300349,0.5760808284066405,0.8818941298844113,0.5203566944662361,0.06363837757748024
