model,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_log_loss,test_multiclass_brier,test_ranked_probability_score,test_ece_10bin,test_avg_confidence
first_baseline,0.5711830421082784,0.5305434995010084,0.5268770030540572,0.5719523454041484,0.8844133689915499,0.52129785167228,0.113899337999191,,
model_v2_uncalibrated,0.5766256087081065,0.5356741620082491,0.5341900093187495,0.5792342653164992,0.8883970276909916,0.524448838851621,0.17259764752704512,0.05378133454718792,0.5449137874197215
model_v3_calibrated,0.5766256087081065,0.5356741620082491,0.5341900093187495,0.5792342653164992,0.8860181849074792,0.522917876224484,0.17187420282305987,0.053497349596370605,0.5568721077429194
