model,split,rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,multiclass_brier,ranked_probability_score,ece_10bin,avg_confidence
v2_random_forest_shallow_uncalibrated,validation,969,0.5211558307533539,0.49342614922595346,0.4917441150862388,0.5349683422437475,0.9599980290679457,0.570192650815056,0.19259823486690994,0.058647159643647466,0.5105445578467491
v3_temperature_calibrated_rf,validation,969,0.5211558307533539,0.49342614922595346,0.4917441150862388,0.5349683422437475,0.9595098653184714,0.5694363369831713,0.19217151430731383,0.056162523168130606,0.5213087523300174
v2_random_forest_shallow_uncalibrated,test,3491,0.5766256087081065,0.5356741620082491,0.5341900093187495,0.5792342653164992,0.8883970276909916,0.524448838851621,0.17259764752704512,0.05378133454718792,0.5449137874197215
v3_temperature_calibrated_rf,test,3491,0.5766256087081065,0.5356741620082491,0.5341900093187495,0.5792342653164992,0.8860181849074792,0.522917876224484,0.17187420282305987,0.053497349596370605,0.5568721077429194
