split,metric,baseline,model_v2,change,direction,improved
validation,accuracy,0.5211558307533539,0.5211558307533539,0.0,higher_better,False
validation,balanced_accuracy,0.503136309714705,0.49342614922595346,-0.009710160488751562,higher_better,False
validation,macro_f1,0.4960789046755624,0.4917441150862388,-0.004334789589323651,higher_better,False
validation,weighted_f1,0.533690908642587,0.5349683422437475,0.0012774336011605048,higher_better,True
validation,log_loss,0.9776246133013156,0.9599980290679456,-0.017626584233369935,lower_better,True
validation,multiclass_brier,0.5787885083121042,0.5701926508150559,-0.008595857497048276,lower_better,True
validation,ranked_probability_score,0.1300655847840481,0.12839882324460664,-0.0016667615394414526,lower_better,True
test,accuracy,0.5711830421082784,0.5766256087081065,0.005442566599828114,higher_better,True
test,balanced_accuracy,0.5305434995010084,0.5356741620082491,0.005130662507240702,higher_better,True
test,macro_f1,0.5268770030540572,0.5341900093187495,0.007313006264692334,higher_better,True
test,weighted_f1,0.5719523454041484,0.5792342653164992,0.007281919912350832,higher_better,True
test,log_loss,0.8844133689915499,0.8883970276909916,0.003983658699441728,lower_better,False
test,multiclass_brier,0.52129785167228,0.524448838851621,0.003150987179340925,lower_better,False
test,ranked_probability_score,0.113899337999191,0.11506509835136342,0.001165760352172418,lower_better,False
