model,split,rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,multiclass_brier,ranked_probability_score,model_family
logistic_regression,test,3491,0.5711830421082784,0.5305434995010084,0.5268770030540572,0.5719523454041484,0.8844133689915499,0.52129785167228,0.113899337999191,previous_baseline
logistic_regression,train,7279,0.5686220634702569,0.5443755198883745,0.540473078575067,0.5755105787975683,0.9016886424081586,0.5311317913053734,0.1171845286171965,previous_baseline
logistic_regression,validation,969,0.5211558307533539,0.503136309714705,0.4960789046755624,0.533690908642587,0.9776246133013156,0.5787885083121042,0.1300655847840481,previous_baseline
logistic_regression_exp_h2h,train,7279,0.5809863992306635,0.5599999324101016,0.5562953406569716,0.5898009491301728,0.8879570212791006,0.5230771643046183,0.1152497192681801,exp_h2h_logistic_all_features
logistic_regression_exp_h2h,validation,969,0.478844169246646,0.4685158734531665,0.4655404904682713,0.502455921520469,1.0120563131904714,0.600268251254894,0.133145316704073,exp_h2h_logistic_all_features
logistic_regression_exp_h2h,test,3491,0.5485534230879404,0.5272735956702888,0.5270339849464943,0.5640004891134139,0.920205022586997,0.5455640509493798,0.1180829054633718,exp_h2h_logistic_all_features
random_forest_shallow,train,7279,0.6129962906992719,0.5919928481745093,0.5874216735471354,0.618411327903897,0.8645017458302119,0.5076575804182408,0.11327809485819466,model_v2_best
random_forest_shallow,validation,969,0.5211558307533539,0.49342614922595346,0.4917441150862388,0.5349683422437475,0.9599980290679456,0.5701926508150559,0.12839882324460664,model_v2_best
random_forest_shallow,test,3491,0.5766256087081065,0.5356741620082491,0.5341900093187495,0.5792342653164992,0.8883970276909916,0.524448838851621,0.11506509835136342,model_v2_best
