model,class,feature,importance,abs_importance
logistic_regression,H,cat__home_confederation_CONCACAF,-0.2070137435925289,0.2070137435925289
logistic_regression,D,num__avg_goal_diff_delta_last10,0.19854077507577336,0.19854077507577336
logistic_regression,H,cat__home_confederation_CONMEBOL,-0.19719127711629322,0.19719127711629322
logistic_regression,D,num__confed_inter_goal_diff_per_match_diff_prior_filled,-0.19698547400458807,0.19698547400458807
logistic_regression,A,cat__host_confederation_OFC,-0.19694184270999116,0.19694184270999116
logistic_regression,H,cat__home_confederation_UEFA,-0.19218858669267638,0.19218858669267638
logistic_regression,H,cat__confederation_pair_NON_FIFA_vs_NON_FIFA,-0.18939219341076122,0.18939219341076122
logistic_regression,H,num__confed_points_per_match_diff_prior_filled,0.1887087797847723,0.1887087797847723
logistic_regression,A,num__neutral,0.18781073078311641,0.18781073078311641
logistic_regression,A,cat__confederation_pair_UEFA_vs_AFC,-0.18702605658032784,0.18702605658032784
logistic_regression,H,cat__confederation_pair_CAF_vs_AFC,0.185733654323111,0.185733654323111
logistic_regression,H,cat__confederation_pair_UEFA_vs_CONMEBOL,-0.183482317681879,0.183482317681879
logistic_regression,A,cat__confederation_pair_AFC_vs_CONMEBOL,-0.18021517285595132,0.18021517285595132
logistic_regression,A,cat__confederation_pair_infrequent_sklearn,-0.17700457456875437,0.17700457456875437
logistic_regression,H,num__neutral,-0.17530312130380166,0.17530312130380166
logistic_regression,H,cat__home_confederation_CAF,0.17496456230238888,0.17496456230238888
logistic_regression,H,num__fifa_rank_diff_filled,0.17051307726978626,0.17051307726978626
logistic_regression,D,cat__away_confederation_CONMEBOL,0.16930712389442706,0.16930712389442706
logistic_regression,H,cat__host_confederation_NON_FIFA,-0.16896175899425028,0.16896175899425028
logistic_regression,H,cat__confederation_pair_AFC_vs_AFC,0.16699113516651432,0.16699113516651432
logistic_regression,D,cat__home_confederation_OFC,-0.16507091418633932,0.16507091418633932
logistic_regression,A,cat__host_confederation_UEFA,0.16212523201783569,0.16212523201783569
logistic_regression,A,num__confed_goal_diff_per_match_diff_prior_filled,0.16167257343098584,0.16167257343098584
logistic_regression,D,num__confed_goal_diff_per_match_diff_prior_filled,0.16141933631015354,0.16141933631015354
logistic_regression,D,cat__confederation_pair_UEFA_vs_CONCACAF,0.15773970323355263,0.15773970323355263
logistic_regression,H,num__weighted_form_points_diff_last10,-0.15547914225639584,0.15547914225639584
logistic_regression,A,cat__confederation_pair_OFC_vs_OFC,-0.15384332397814862,0.15384332397814862
logistic_regression,A,cat__confederation_pair_CONMEBOL_vs_CONMEBOL,-0.15244956767861723,0.15244956767861723
logistic_regression,A,cat__confederation_pair_AFC_vs_OFC,0.1496970999528928,0.1496970999528928
logistic_regression,A,num__weighted_goal_diff_delta_last5,-0.1494631744522288,0.1494631744522288
logistic_regression,A,cat__host_confederation_CONMEBOL,-0.14330705702842694,0.14330705702842694
logistic_regression,D,cat__away_confederation_UEFA,-0.14250334723183242,0.14250334723183242
logistic_regression,H,cat__host_confederation_UEFA,-0.14154655131932506,0.14154655131932506
logistic_regression,H,cat__confederation_pair_AFC_vs_CAF,-0.14063760786997856,0.14063760786997856
logistic_regression,A,cat__confederation_pair_CONMEBOL_vs_CONCACAF,0.14055308623192136,0.14055308623192136
logistic_regression,A,cat__confederation_pair_UEFA_vs_CONCACAF,0.14031953959366913,0.14031953959366913
logistic_regression,H,cat__confederation_pair_AFC_vs_CONMEBOL,0.13988420425765424,0.13988420425765424
logistic_regression,A,num__elo_prob_home_win_proxy,0.1373865973074677,0.1373865973074677
logistic_regression,A,num__weighted_goal_diff_delta_last10,0.1296405496953845,0.1296405496953845
logistic_regression,H,cat__home_confederation_OFC,-0.12698771702833694,0.12698771702833694
logistic_regression,H,cat__host_confederation_OFC,-0.12554841605258352,0.12554841605258352
logistic_regression,D,cat__away_confederation_AFC,0.12509973589290976,0.12509973589290976
logistic_regression,H,cat__host_confederation_CAF,-0.12345167691479776,0.12345167691479776
logistic_regression,A,num__win_rate_diff_last10,0.11991706008175748,0.11991706008175748
logistic_regression,H,cat__away_confederation_AFC,0.11879134196425496,0.11879134196425496
logistic_regression,H,cat__confederation_pair_CONCACAF_vs_CONCACAF,-0.11821388221485842,0.11821388221485842
logistic_regression,H,cat__away_confederation_CONCACAF,0.11665513856654125,0.11665513856654125
logistic_regression,D,cat__confederation_pair_AFC_vs_CAF,-0.1135588958883229,0.1135588958883229
logistic_regression,A,cat__home_confederation_CAF,0.10994850021145954,0.10994850021145954
logistic_regression,A,cat__confederation_pair_UEFA_vs_CONMEBOL,0.10701236440498017,0.10701236440498017
logistic_regression,D,num__weighted_form_points_diff_last10,0.10616019136682747,0.10616019136682747
logistic_regression,D,cat__host_confederation_CONMEBOL,-0.10513295672881111,0.10513295672881111
logistic_regression,A,cat__confederation_pair_AFC_vs_UEFA,0.10168809483110103,0.10168809483110103
logistic_regression,D,cat__home_confederation_AFC,0.10022485261009578,0.10022485261009578
logistic_regression,H,cat__home_confederation_AFC,-0.09861124039636096,0.09861124039636096
logistic_regression,H,cat__confederation_pair_UEFA_vs_UEFA,-0.0985740686496373,0.0985740686496373
logistic_regression,H,num__elo_prob_home_win_proxy,-0.09841822737639638,0.09841822737639638
logistic_regression,A,cat__away_confederation_CONMEBOL,0.09360997358794435,0.09360997358794435
logistic_regression,A,num__fifa_points_diff_filled,0.09128091171681654,0.09128091171681654
logistic_regression,D,cat__host_confederation_NON_FIFA,0.09023850117496844,0.09023850117496844
logistic_regression,D,cat__confederation_pair_AFC_vs_AFC,-0.08998746624719042,0.08998746624719042
logistic_regression,D,num__confed_inter_points_per_match_diff_prior_filled,0.08770181239833456,0.08770181239833456
logistic_regression,D,cat__away_confederation_CONCACAF,-0.0831035802170505,0.0831035802170505
logistic_regression,D,cat__away_confederation_NON_FIFA,-0.08253555688839052,0.08253555688839052
logistic_regression,H,num__weighted_goal_diff_delta_last5,0.0821441081935713,0.0821441081935713
logistic_regression,D,num__win_rate_diff_last10,-0.08194013489053781,0.08194013489053781
logistic_regression,H,num__fifa_points_diff_filled,-0.08054879613300743,0.08054879613300743
logistic_regression,A,cat__host_confederation_NON_FIFA,0.07872325781928048,0.07872325781928048
logistic_regression,A,cat__confederation_pair_AFC_vs_AFC,-0.07700366891932557,0.07700366891932557
logistic_regression,D,cat__confederation_pair_UEFA_vs_CONMEBOL,0.0764699532769032,0.0764699532769032
logistic_regression,A,cat__host_confederation_AFC,0.07615084331376655,0.07615084331376655
logistic_regression,A,cat__host_confederation_CONCACAF,-0.0705575777008753,0.0705575777008753
logistic_regression,H,cat__confederation_pair_CONCACAF_vs_CONMEBOL,-0.07046592049932315,0.07046592049932315
logistic_regression,D,cat__host_confederation_AFC,-0.07017311030820815,0.07017311030820815
logistic_regression,D,cat__host_confederation_CAF,0.06924049544934624,0.06924049544934624
logistic_regression,D,num__weighted_goal_diff_delta_last5,0.06731906625865645,0.06731906625865645
logistic_regression,D,cat__confederation_pair_CONMEBOL_vs_CONMEBOL,-0.06651763607497949,0.06651763607497949
logistic_regression,D,cat__confederation_pair_UEFA_vs_UEFA,0.0661978602416283,0.0661978602416283
logistic_regression,H,num__confed_inter_points_per_match_diff_prior_filled,-0.0660993429130352,0.0660993429130352
logistic_regression,D,num__is_friendly,0.0658818972398608,0.0658818972398608
logistic_regression,D,cat__confederation_pair_CONCACAF_vs_CONCACAF,0.0631980799795036,0.0631980799795036
logistic_regression,H,num__win_rate_diff_last5,0.061631574068235044,0.061631574068235044
logistic_regression,H,num__same_confederation,-0.06034789616363718,0.06034789616363718
logistic_regression,H,cat__confederation_pair_CAF_vs_CAF,0.058471167960367984,0.058471167960367984
